size,planner,makespan
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
4,HEFT,19200000.0
