,size,planner,makespan
0,4,HEFT,38127.38277554291
1,4,HEFT,38127.38277554291
2,4,HEFT,38127.38277554291
3,4,HEFT,38127.38277554291
4,4,HEFT,38127.38277554291
5,4,HEFT,38127.38277554291
6,4,HEFT,38127.38277554291
7,4,HEFT,38127.38277554291
8,4,HEFT,38127.38277554291
9,4,HEFT,38127.38277554291
10,4,HEFT,38127.38277554291
11,4,HEFT,38127.38277554291
12,4,HEFT,38127.38277554291
13,4,HEFT,38127.38277554291
14,4,HEFT,38127.38277554291
15,4,HEFT,38127.38277554291
16,4,HEFT,38127.38277554291
17,4,HEFT,38127.38277554291
18,4,HEFT,38127.38277554291
19,4,HEFT,38127.38277554291
20,4,HEFT,38127.38277554291
21,4,HEFT,38127.38277554291
22,4,HEFT,38127.38277554291
23,4,HEFT,38127.38277554291
24,4,HEFT,38127.38277554291
25,4,HEFT,38127.38277554291
26,4,HEFT,38127.38277554291
27,4,HEFT,38127.38277554291
28,4,HEFT,38127.38277554291
29,4,HEFT,38127.38277554291
30,4,HEFT,38127.38277554291
31,4,HEFT,38127.38277554291
32,4,HEFT,38127.38277554291
33,4,HEFT,38127.38277554291
34,4,HEFT,38127.38277554291
35,4,HEFT,38127.38277554291
36,4,HEFT,38127.38277554291
37,4,HEFT,38127.38277554291
38,4,HEFT,38127.38277554291
39,4,HEFT,38127.38277554291
40,4,HEFT,38127.38277554291
41,4,HEFT,38127.38277554291
42,4,HEFT,38127.38277554291
43,4,HEFT,38127.38277554291
44,4,HEFT,38127.38277554291
45,4,HEFT,38127.38277554291
46,4,HEFT,38127.38277554291
47,4,HEFT,38127.38277554291
48,4,HEFT,38127.38277554291
49,4,HEFT,38127.38277554291
50,4,HEFT,38127.38277554291
51,4,HEFT,38127.38277554291
52,4,HEFT,38127.38277554291
53,4,HEFT,38127.38277554291
54,4,HEFT,38127.38277554291
55,4,HEFT,38127.38277554291
56,4,HEFT,38127.38277554291
57,4,HEFT,38127.38277554291
58,4,HEFT,38127.38277554291
59,4,HEFT,38127.38277554291
60,4,HEFT,38127.38277554291
61,4,HEFT,38127.38277554291
62,4,HEFT,38127.38277554291
63,4,HEFT,38127.38277554291
64,4,HEFT,38127.38277554291
65,4,HEFT,38127.38277554291
66,4,HEFT,38127.38277554291
67,4,HEFT,38127.38277554291
68,4,HEFT,38127.38277554291
69,4,HEFT,38127.38277554291
70,4,HEFT,38127.38277554291
71,4,HEFT,38127.38277554291
72,4,HEFT,38127.38277554291
73,4,HEFT,38127.38277554291
74,4,HEFT,38127.38277554291
75,4,HEFT,38127.38277554291
76,4,HEFT,38127.38277554291
77,4,HEFT,38127.38277554291
78,4,HEFT,38127.38277554291
79,4,HEFT,38127.38277554291
80,4,HEFT,38127.38277554291
81,4,HEFT,38127.38277554291
82,4,HEFT,38127.38277554291
83,4,HEFT,38127.38277554291
84,4,HEFT,38127.38277554291
85,4,HEFT,38127.38277554291
86,4,HEFT,38127.38277554291
87,4,HEFT,38127.38277554291
88,4,HEFT,38127.38277554291
89,4,HEFT,38127.38277554291
90,4,HEFT,38127.38277554291
91,4,HEFT,38127.38277554291
92,4,HEFT,38127.38277554291
93,4,HEFT,38127.38277554291
94,4,HEFT,38127.38277554291
95,4,HEFT,38127.38277554291
96,4,HEFT,38127.38277554291
97,4,HEFT,38127.38277554291
98,4,HEFT,38127.38277554291
99,4,HEFT,38127.38277554291
100,4,HEFT,38127.38277554291
101,4,HEFT,38127.38277554291
102,4,HEFT,38127.38277554291
103,4,HEFT,38127.38277554291
104,4,HEFT,38127.38277554291
105,4,HEFT,38127.38277554291
106,4,HEFT,38127.38277554291
107,4,HEFT,38127.38277554291
108,4,HEFT,38127.38277554291
109,4,HEFT,38127.38277554291
110,4,HEFT,38127.38277554291
111,4,HEFT,38127.38277554291
112,4,HEFT,38127.38277554291
113,4,HEFT,38127.38277554291
114,4,HEFT,38127.38277554291
115,4,HEFT,38127.38277554291
116,4,HEFT,38127.38277554291
117,4,HEFT,38127.38277554291
118,4,HEFT,38127.38277554291
119,4,HEFT,38127.38277554291
120,4,HEFT,38127.38277554291
121,4,HEFT,38127.38277554291
122,4,HEFT,38127.38277554291
123,4,HEFT,38127.38277554291
124,4,HEFT,38127.38277554291
125,4,HEFT,38127.38277554291
126,4,HEFT,38127.38277554291
127,4,HEFT,38127.38277554291
128,4,HEFT,38127.38277554291
129,4,HEFT,38127.38277554291
130,4,HEFT,38127.38277554291
131,4,HEFT,38127.38277554291
132,4,HEFT,38127.38277554291
133,4,HEFT,38127.38277554291
134,4,HEFT,38127.38277554291
135,4,HEFT,38127.38277554291
136,4,HEFT,38127.38277554291
137,4,HEFT,38127.38277554291
138,4,HEFT,38127.38277554291
139,4,HEFT,38127.38277554291
140,4,HEFT,38127.38277554291
141,4,HEFT,38127.38277554291
142,4,HEFT,38127.38277554291
143,4,HEFT,38127.38277554291
144,4,HEFT,38127.38277554291
145,4,HEFT,38127.38277554291
146,4,HEFT,38127.38277554291
147,4,HEFT,38127.38277554291
148,4,HEFT,38127.38277554291
149,4,HEFT,38127.38277554291
150,4,HEFT,38127.38277554291
151,4,HEFT,38127.38277554291
152,4,HEFT,38127.38277554291
153,4,HEFT,38127.38277554291
154,4,HEFT,38127.38277554291
155,4,HEFT,38127.38277554291
156,4,HEFT,38127.38277554291
157,4,HEFT,38127.38277554291
158,4,HEFT,38127.38277554291
159,4,HEFT,38127.38277554291
160,4,HEFT,38127.38277554291
