,size,planner,makespan,reactive,expected,mpn_snt,rect_snt
0,4,HEFT,80477.86080432685,80477.86080432685,75000.0,5477.860804326847,5477.860804326847
1,4,HEFT,94251.96954283009,94251.96954283009,75000.0,19251.969542830106,19251.969542830106
2,4,HEFT,83469.9260032237,83469.9260032237,75000.0,8469.926003223707,8469.926003223707
3,4,HEFT,79656.53262211822,79656.53262211822,75000.0,4656.532622118219,4656.532622118219
4,4,HEFT,75000.0,72176.80947355268,75000.0,0.0,-2823.190526447332
5,4,HEFT,77652.47798816537,77652.47798816537,75000.0,2652.477988165381,2652.477988165381
6,4,HEFT,76117.03255008634,76117.03255008634,75000.0,1117.03255008634,1117.03255008634
7,4,HEFT,83174.80771936636,83174.80771936636,75000.0,8174.807719366364,8174.807719366364
8,4,HEFT,81088.05495599628,81088.05495599628,75000.0,6088.054955996267,6088.054955996267
9,4,HEFT,85718.48562296963,85718.48562296963,75000.0,10718.48562296963,10718.48562296963
10,4,HEFT,82252.84147613715,82252.84147613715,75000.0,7252.841476137153,7252.841476137153
11,4,HEFT,81917.88446145374,81917.88446145374,75000.0,6917.8844614537375,6917.8844614537375
12,4,HEFT,80733.99984864787,80733.99984864787,75000.0,5733.9998486478735,5733.9998486478735
13,4,HEFT,82545.43197919552,82545.43197919552,75000.0,7545.431979195535,7545.431979195535
14,4,HEFT,80105.52307642759,80105.52307642759,75000.0,5105.523076427607,5105.523076427607
15,4,HEFT,83262.57069766811,83262.57069766811,75000.0,8262.570697668109,8262.570697668109
16,4,HEFT,80552.23349925427,80552.23349925427,75000.0,5552.233499254275,5552.233499254275
17,4,HEFT,81938.50879591815,81938.50879591815,75000.0,6938.508795918156,6938.508795918156
18,4,HEFT,93482.55126904792,93482.55126904792,75000.0,18482.551269047908,18482.551269047908
19,4,HEFT,79014.09108338185,79014.09108338185,75000.0,4014.091083381849,4014.091083381849
20,4,HEFT,83546.80734188859,83546.80734188859,75000.0,8546.80734188859,8546.80734188859
21,4,HEFT,75951.92055697375,75951.92055697375,75000.0,951.9205569737532,951.9205569737532
22,4,HEFT,81345.6200419458,81345.6200419458,75000.0,6345.620041945805,6345.620041945805
23,4,HEFT,84701.30737525548,84701.30737525548,75000.0,9701.307375255476,9701.307375255476
24,4,HEFT,80905.19424852185,80905.19424852185,75000.0,5905.194248521846,5905.194248521846
25,4,HEFT,80559.67716312196,80559.67716312196,75000.0,5559.677163121961,5559.677163121961
26,4,HEFT,77245.26581816157,77245.26581816157,75000.0,2245.2658181615693,2245.2658181615693
27,4,HEFT,76918.42548422025,76918.42548422025,75000.0,1918.42548422025,1918.42548422025
28,4,HEFT,79540.89435503935,79540.89435503935,75000.0,4540.894355039345,4540.894355039345
29,4,HEFT,80512.98105462031,80512.98105462031,75000.0,5512.981054620308,5512.981054620308
30,4,HEFT,84975.08283542361,84975.08283542361,75000.0,9975.082835423616,9975.082835423616
31,4,HEFT,81482.90215292912,81482.90215292912,75000.0,6482.902152929119,6482.902152929119
