planner,size,freqs
RAND,4,272.0
RAND,4,280.0
RAND,4,274.0
RAND,4,275.0
RAND,4,272.0
RAND,4,276.0
RAND,4,272.0
RAND,4,269.0
RAND,4,284.0
RAND,4,262.0
RAND,4,291.0
RAND,4,283.0
RAND,4,266.0
RAND,4,266.0
RAND,4,267.0
RAND,4,284.0
RAND,4,267.0
RAND,4,268.0
RAND,4,265.0
RAND,4,260.0
RAND,4,275.0
RAND,4,281.0
RAND,4,266.0
RAND,4,275.0
RAND,4,284.0
RAND,4,269.0
RAND,4,274.0
RAND,4,270.0
RAND,4,275.0
RAND,4,272.0
RAND,4,294.0
RAND,4,268.0
RAND,4,269.0
RAND,4,266.0
RAND,4,275.0
RAND,4,293.0
RAND,4,279.0
RAND,4,266.0
RAND,4,280.0
RAND,4,274.0
RAND,4,276.0
RAND,4,274.0
RAND,4,285.0
RAND,4,273.0
RAND,4,276.0
RAND,4,260.0
RAND,4,285.0
RAND,4,277.0
RAND,4,265.0
RAND,4,264.0
RAND,4,287.0
RAND,4,277.0
RAND,4,281.0
RAND,4,263.0
RAND,4,261.0
RAND,4,272.0
RAND,4,273.0
RAND,4,272.0
RAND,4,271.0
RAND,4,286.0
RAND,4,270.0
RAND,4,278.0
RAND,4,278.0
RAND,4,260.0
RAND,4,278.0
RAND,4,275.0
RAND,4,275.0
RAND,4,272.0
RAND,4,277.0
RAND,4,263.0
RAND,4,261.0
RAND,4,270.0
RAND,4,288.0
RAND,4,274.0
RAND,4,268.0
RAND,4,260.0
RAND,4,262.0
RAND,4,268.0
RAND,4,279.0
RAND,4,268.0
RAND,4,278.0
RAND,4,271.0
RAND,4,272.0
RAND,4,268.0
RAND,4,264.0
RAND,4,272.0
RAND,4,270.0
RAND,4,262.0
RAND,4,263.0
RAND,4,281.0
RAND,4,274.0
RAND,4,268.0
RAND,4,272.0
RAND,4,264.0
RAND,4,271.0
RAND,4,266.0
RAND,4,260.0
RAND,4,262.0
RAND,4,270.0
RAND,4,289.0
RAND,4,269.0
RAND,4,274.0
RAND,4,268.0
RAND,4,275.0
RAND,4,260.0
RAND,4,279.0
RAND,4,265.0
RAND,4,268.0
RAND,4,267.0
RAND,4,268.0
RAND,4,272.0
RAND,4,272.0
RAND,4,260.0
RAND,4,261.0
RAND,4,278.0
RAND,4,277.0
RAND,4,275.0
RAND,4,272.0
RAND,4,276.0
RAND,4,287.0
RAND,4,259.0
RAND,4,278.0
RAND,4,270.0
RAND,4,268.0
RAND,4,271.0
RAND,4,263.0
RAND,4,291.0
RAND,4,295.0
RAND,4,268.0
RAND,4,267.0
RAND,4,274.0
RAND,4,272.0
RAND,4,260.0
RAND,4,280.0
RAND,4,271.0
RAND,4,305.0
RAND,4,262.0
RAND,4,264.0
RAND,4,272.0
RAND,4,265.0
RAND,4,274.0
RAND,4,272.0
RAND,4,272.0
RAND,4,268.0
RAND,4,277.0
RAND,4,283.0
RAND,4,282.0
RAND,4,297.0
RAND,4,280.0
RAND,4,275.0
RAND,4,272.0
RAND,4,276.0
RAND,4,280.0
RAND,4,275.0
RAND,4,274.0
RAND,4,274.0
RAND,4,270.0
RAND,4,280.0
RAND,4,281.0
RAND,4,266.0
RAND,4,282.0
RAND,4,266.0
RAND,4,283.0
RAND,4,281.0
RAND,4,269.0
RAND,4,270.0
RAND,4,276.0
RAND,4,277.0
RAND,4,271.0
RAND,4,283.0
RAND,4,273.0
RAND,4,271.0
RAND,4,271.0
RAND,4,271.0
RAND,4,263.0
RAND,4,282.0
RAND,4,281.0
RAND,4,263.0
RAND,4,263.0
RAND,4,268.0
RAND,4,269.0
RAND,4,271.0
RAND,4,282.0
RAND,4,267.0
RAND,4,271.0
RAND,4,277.0
RAND,4,266.0
RAND,4,272.0
RAND,4,265.0
RAND,4,279.0
RAND,4,273.0
RAND,4,270.0
RAND,4,267.0
RAND,4,276.0
RAND,4,267.0
RAND,4,269.0
RAND,4,284.0
RAND,4,276.0
RAND,4,272.0
RAND,4,267.0
RAND,4,266.0
RAND,4,270.0
RAND,4,293.0
RAND,4,273.0
RAND,4,281.0
RAND,4,276.0
RAND,4,270.0
RAND,4,266.0
RAND,4,272.0
RAND,4,283.0
RAND,4,267.0
RAND,4,290.0
RAND,4,278.0
RAND,4,270.0
RAND,4,263.0
RAND,4,263.0
RAND,4,272.0
RAND,4,265.0
RAND,4,274.0
RAND,4,281.0
RAND,4,273.0
RAND,4,272.0
RAND,4,271.0
RAND,4,260.0
RAND,4,260.0
RAND,4,265.0
RAND,4,278.0
RAND,4,269.0
RAND,4,264.0
RAND,4,265.0
RAND,4,271.0
RAND,4,268.0
RAND,4,260.0
RAND,4,266.0
RAND,4,282.0
RAND,4,273.0
RAND,4,265.0
RAND,4,292.0
RAND,4,272.0
RAND,4,283.0
RAND,4,272.0
RAND,4,270.0
RAND,4,261.0
RAND,4,268.0
RAND,4,275.0
RAND,4,280.0
RAND,4,279.0
RAND,4,264.0
RAND,4,284.0
RAND,4,276.0
RAND,4,266.0
RAND,4,288.0
RAND,4,272.0
RAND,4,265.0
RAND,4,270.0
RAND,4,276.0
RAND,4,261.0
RAND,4,275.0
RAND,4,264.0
RAND,4,261.0
RAND,4,274.0
RAND,4,278.0
RAND,4,274.0
RAND,4,268.0
