,size,planner,makespan
0,4,HEFT,83632.36187551905
1,4,HEFT,83632.36187551905
2,4,HEFT,83632.36187551905
3,4,HEFT,83632.36187551905
4,4,HEFT,83632.36187551905
5,4,HEFT,83632.36187551905
6,4,HEFT,83632.36187551905
7,4,HEFT,83632.36187551905
8,4,HEFT,83632.36187551905
9,4,HEFT,83632.36187551905
10,4,HEFT,83632.36187551905
11,4,HEFT,83632.36187551905
12,4,HEFT,83632.36187551905
13,4,HEFT,83632.36187551905
14,4,HEFT,83632.36187551905
15,4,HEFT,83632.36187551905
16,4,HEFT,83632.36187551905
17,4,HEFT,83632.36187551905
18,4,HEFT,83632.36187551905
19,4,HEFT,83632.36187551905
20,4,HEFT,83632.36187551905
21,4,HEFT,83632.36187551905
22,4,HEFT,83632.36187551905
23,4,HEFT,83632.36187551905
24,4,HEFT,83632.36187551905
25,4,HEFT,83632.36187551905
26,4,HEFT,83632.36187551905
27,4,HEFT,83632.36187551905
28,4,HEFT,83632.36187551905
29,4,HEFT,83632.36187551905
30,4,HEFT,83632.36187551905
31,4,HEFT,83632.36187551905
32,4,HEFT,83632.36187551905
33,4,HEFT,83632.36187551905
34,4,HEFT,83632.36187551905
35,4,HEFT,83632.36187551905
36,4,HEFT,83632.36187551905
37,4,HEFT,83632.36187551905
38,4,HEFT,83632.36187551905
39,4,HEFT,83632.36187551905
40,4,HEFT,83632.36187551905
41,4,HEFT,83632.36187551905
42,4,HEFT,83632.36187551905
43,4,HEFT,83632.36187551905
44,4,HEFT,83632.36187551905
45,4,HEFT,83632.36187551905
46,4,HEFT,83632.36187551905
47,4,HEFT,83632.36187551905
48,4,HEFT,83632.36187551905
49,4,HEFT,83632.36187551905
50,4,HEFT,83632.36187551905
51,4,HEFT,83632.36187551905
52,4,HEFT,83632.36187551905
53,4,HEFT,83632.36187551905
54,4,HEFT,83632.36187551905
55,4,HEFT,83632.36187551905
56,4,HEFT,83632.36187551905
57,4,HEFT,83632.36187551905
58,4,HEFT,83632.36187551905
59,4,HEFT,83632.36187551905
60,4,HEFT,83632.36187551905
61,4,HEFT,83632.36187551905
62,4,HEFT,83632.36187551905
63,4,HEFT,83632.36187551905
64,4,HEFT,83632.36187551905
65,4,HEFT,83632.36187551905
66,4,HEFT,83632.36187551905
67,4,HEFT,83632.36187551905
68,4,HEFT,83632.36187551905
69,4,HEFT,83632.36187551905
70,4,HEFT,83632.36187551905
71,4,HEFT,83632.36187551905
72,4,HEFT,83632.36187551905
73,4,HEFT,83632.36187551905
74,4,HEFT,83632.36187551905
75,4,HEFT,83632.36187551905
76,4,HEFT,83632.36187551905
77,4,HEFT,83632.36187551905
78,4,HEFT,83632.36187551905
79,4,HEFT,83632.36187551905
80,4,HEFT,83632.36187551905
81,4,HEFT,83632.36187551905
82,4,HEFT,83632.36187551905
83,4,HEFT,83632.36187551905
84,4,HEFT,83632.36187551905
85,4,HEFT,83632.36187551905
86,4,HEFT,83632.36187551905
87,4,HEFT,83632.36187551905
88,4,HEFT,83632.36187551905
89,4,HEFT,83632.36187551905
90,4,HEFT,83632.36187551905
91,4,HEFT,83632.36187551905
92,4,HEFT,83632.36187551905
93,4,HEFT,83632.36187551905
94,4,HEFT,83632.36187551905
95,4,HEFT,83632.36187551905
96,4,HEFT,83632.36187551905
97,4,HEFT,83632.36187551905
98,4,HEFT,83632.36187551905
99,4,HEFT,83632.36187551905
100,4,HEFT,83632.36187551905
101,4,HEFT,83632.36187551905
102,4,HEFT,83632.36187551905
103,4,HEFT,83632.36187551905
104,4,HEFT,83632.36187551905
105,4,HEFT,83632.36187551905
106,4,HEFT,83632.36187551905
107,4,HEFT,83632.36187551905
108,4,HEFT,83632.36187551905
109,4,HEFT,83632.36187551905
110,4,HEFT,83632.36187551905
111,4,HEFT,83632.36187551905
112,4,HEFT,83632.36187551905
113,4,HEFT,83632.36187551905
114,4,HEFT,83632.36187551905
115,4,HEFT,83632.36187551905
116,4,HEFT,83632.36187551905
117,4,HEFT,83632.36187551905
118,4,HEFT,83632.36187551905
119,4,HEFT,83632.36187551905
120,4,HEFT,83632.36187551905
121,4,HEFT,83632.36187551905
122,4,HEFT,83632.36187551905
123,4,HEFT,83632.36187551905
124,4,HEFT,83632.36187551905
125,4,HEFT,83632.36187551905
126,4,HEFT,83632.36187551905
127,4,HEFT,83632.36187551905
128,4,HEFT,83632.36187551905
129,4,HEFT,83632.36187551905
130,4,HEFT,83632.36187551905
131,4,HEFT,83632.36187551905
132,4,HEFT,83632.36187551905
133,4,HEFT,83632.36187551905
