size,planner,makespan,time
4,GA-50,6230769.230769237,9.955993175506592
4,GA-50,6173076.923076928,10.635109186172484
4,GA-50,6288461.538461544,11.496254920959473
4,GA-50,6403846.15384616,11.700668811798096
4,GA-50,6692307.6923077,11.379695177078247
4,GA-50,5826923.07692308,11.844172954559324
4,GA-50,6519230.7692307765,11.041873216629028
4,GA-50,5942307.692307697,10.066463947296144
4,GA-50,6576923.0769230835,9.655900955200195
4,GA-50,6403846.15384616,11.09639596939087
4,GA-50,6288461.538461544,10.950167179107666
4,GA-50,6865384.6153846225,9.849712133407591
4,GA-50,5307692.307692308,9.946750879287722
4,GA-50,6230769.230769237,9.951594114303587
4,GA-50,6403846.15384616,9.550154209136963
4,GA-50,6923076.923076931,10.003647089004515
4,GA-50,6288461.538461544,10.634552001953123
4,GA-50,6461538.461538468,10.168136835098268
4,GA-50,6288461.538461544,10.049226045608519
4,GA-50,6519230.7692307765,9.668199062347412
4,GA-50,6346153.8461538525,10.082828998565674
4,GA-50,6288461.538461544,10.019629001617432
4,GA-50,5884615.384615388,9.564296245574953
4,GA-50,6288461.538461544,9.776489973068236
4,GA-50,6000000.000000004,9.912615776062012
4,GA-50,6519230.7692307765,9.561152935028076
4,GA-50,6692307.6923077,9.594596147537233
4,GA-50,6230769.230769237,9.996565103530882
4,GA-50,5769230.769230773,10.143224239349363
4,GA-50,6461538.461538468,9.964316129684446
4,GA-50,6115384.61538462,10.090240955352783
4,GA-50,6403846.15384616,9.928634881973268
4,GA-50,6519230.7692307765,17.03697419166565
4,GA-50,6346153.8461538525,13.722497940063475
4,GA-50,6403846.15384616,11.853892087936401
4,GA-50,6173076.923076928,12.093906879425047
4,GA-50,6519230.7692307765,12.342581033706665
4,GA-50,6519230.7692307765,11.554829835891724
4,GA-50,6750000.000000007,11.898595809936525
4,GA-50,6288461.538461544,11.286503791809082
4,GA-50,6807692.307692315,12.105512857437134
4,GA-50,6346153.8461538525,11.083518981933594
4,GA-50,5711538.461538464,10.943559885025024
4,GA-50,6634615.384615392,9.64980936050415
4,GA-50,6057692.307692313,9.931193113327025
4,GA-50,6288461.538461544,9.472772121429443
4,GA-50,6750000.000000007,10.097255229949953
4,GA-50,6403846.15384616,9.461496829986572
4,GA-50,6057692.307692313,9.775708198547363
4,GA-50,6403846.15384616,8.921520948410032
4,GA-50,6750000.000000007,8.839126110076904
4,GA-50,6634615.384615392,10.007233142852783
4,GA-50,6461538.461538468,10.474530935287477
4,GA-50,6230769.230769237,10.495664834976195
4,GA-50,6115384.61538462,9.857517004013063
4,GA-50,6519230.7692307765,10.47298002243042
4,GA-50,6230769.230769237,10.114217996597288
4,GA-50,6692307.6923077,10.508140087127686
4,GA-50,6057692.307692313,9.989861249923708
4,GA-50,6750000.000000007,9.510272026062012
4,GA-50,6173076.923076928,10.689267873764036
4,GA-50,6692307.6923077,9.713876008987429
4,GA-50,6403846.15384616,9.769429922103884
